prolific_id,time,prop,context,status,player,x1status,x2status,x3context,xtime,counts,d2_x1statushi,d2_x2statushi,d2_x1statuslo,d2_x2statuslo,d2_x1statuscon,d2_x2statuscon,d2_x3context_t,d2_x3context_s
5bb6645cc9fbd80001039726,post,0.5,social,high,1,1,1,-1,1,FALSE,0,0,2,0,1,3,-2,0
5bb6645cc9fbd80001039726,pre,0.25,social,high,1,1,1,-1,-1,TRUE,0,0,2,0,1,3,-2,0
5f5ca0c252e427494c865f79,post,0.2,social,high,1,1,1,-1,1,FALSE,0,0,2,0,1,3,-2,0
5f5ca0c252e427494c865f79,pre,0.3333333333333333,social,high,1,1,1,-1,-1,TRUE,0,0,2,0,1,3,-2,0
60205d8a88ba9165dda2b151,post,0.1111111111111111,social,high,1,1,1,-1,1,FALSE,0,0,2,0,1,3,-2,0
60205d8a88ba9165dda2b151,pre,0.2222222222222222,social,high,1,1,1,-1,-1,TRUE,0,0,2,0,1,3,-2,0
60612fd306d3d8c7475ece13,pre,0.18181818181818182,social,high,1,1,1,-1,-1,TRUE,0,0,2,0,1,3,-2,0
60612fd306d3d8c7475ece13,post,0.52,social,high,1,1,1,-1,1,FALSE,0,0,2,0,1,3,-2,0
60ad148879b3d5d9d26895ad,post,0.5,social,high,1,1,1,-1,1,FALSE,0,0,2,0,1,3,-2,0
60ad148879b3d5d9d26895ad,pre,0.14285714285714285,social,high,1,1,1,-1,-1,TRUE,0,0,2,0,1,3,-2,0
60ce0a6c4c63973175fc8ff5,post,0.3333333333333333,social,high,1,1,1,-1,1,FALSE,0,0,2,0,1,3,-2,0
60ce0a6c4c63973175fc8ff5,pre,0.6666666666666666,social,high,1,1,1,-1,-1,TRUE,0,0,2,0,1,3,-2,0
60d76cce59eae3386c827330,post,0.3076923076923077,social,high,1,1,1,-1,1,FALSE,0,0,2,0,1,3,-2,0
60d76cce59eae3386c827330,pre,0.2857142857142857,social,high,1,1,1,-1,-1,TRUE,0,0,2,0,1,3,-2,0
60ec0b638c0357cc5aaa7ef9,pre,0.5,social,high,1,1,1,-1,-1,TRUE,0,0,2,0,1,3,-2,0
